year,total_tokens
1810,42160
1811,38431
1812,93983
1813,14627
1814,35196
1815,198670
1816,88070
1817,373798
1818,89158
1819,146201
1820,276155
1821,244915
1822,601892
1823,1141456
1824,730471
1825,271548
1826,387872
1827,1609220
1828,601841
1829,695818
1830,658376
1831,671180
1832,1131166
1833,1231187
1834,1342924
1835,2675767
1836,1253537
1837,937696
1838,1132534
1839,2007604
1840,845753
1841,916367
1842,871544
1843,1575624
1844,1584875
1845,2074442
1846,1628570
1847,1630193
1848,1944947
1849,2066355
1850,1354250
1851,1464615
1852,1738311
1853,1706601
1854,1824925
1855,1962825
1856,2262523
1857,865064
1858,832353
1859,1538656
1860,1667091
1861,1177574
1862,1195641
1863,1543594
1864,1930211
1865,1052431
1866,1591472
1867,1695968
1868,1793966
1869,2302465
1870,1474459
1871,1827086
1872,1474416
1873,2546343
1874,1839006
1875,2479540
1876,1881884
1877,1424243
1878,978296
1879,1604360
1880,2046608
1881,1298871
1882,1688844
1883,1803386
1884,2044053
1885,1762115
1886,2103432
1887,2096111
1888,1900293
1889,2247418
1890,1516068
1891,1969000
1892,1689709
1893,1628163
1894,2109266
1895,1434556
1896,2829321
1897,2218213
1898,1806360
1899,1996228
1900,2633109
1901,1274180
1902,2127597
1903,1381769
1904,1749217
1905,2206849
1906,1920070
1907,2281226
1908,1878966
1909,3283866
1910,2070722
1911,2481918
1912,2283536
1913,2258824
1914,2449438
1915,1940697
1916,1854041
1917,2487419
1918,1484642
1919,2109217
1920,4109361
1921,4441626
1922,5023547
1923,1543325
1924,1319444
1925,1716258
1926,1090482
1927,1323202
1928,1918947
1929,1669881
1930,2098289
1931,2632902
1932,2533227
1933,2289685
1934,2067750
1935,2230110
1936,2239171
1937,2504239
1938,2275791
1939,2387326
1940,2287929
1941,2569753
1942,2363716
1943,2330123
1944,1853452
1945,2179566
1946,2557697
1947,2261707
1948,2264793
1949,2385333
1950,2480383
1951,2347833
1952,2331801
1953,2219746
1954,2149081
1955,2339914
1956,2429552
1957,2163551
1958,2505844
1959,2282834
1960,2441606
1961,2199162
1962,2655512
1963,2176250
1964,1964217
1965,2139714
1966,2215552
1967,2564172
1968,2079605
1969,2251060
1970,2576022
1971,2434509
1972,2349988
1973,2219938
1974,2047344
1975,2180545
1976,2243625
1977,2319262
1978,1947153
1979,2133496
1980,2427749
1981,2555710
1982,2294235
1983,2370446
1984,2364621
1985,2301138
1986,2171264
1987,2619357
1988,2339345
1989,2329443
1990,1449326
1991,1476821
1992,1961811
1993,5189567
1994,2334104
1995,2799411
1996,2404465
1997,2663531
1998,2912745
1999,3381371
2000,2970826
2001,3260609
2002,2869107
2003,2962392
2004,3637402
2005,3131497
2006,3358794
2007,2844345
2008,797464
2009,2050596
